ModuleName,Template,template-is-different,type-solvable-difference,type-unsolvable-difference,extra-parameter,missing-parameter,function-missing,function-extra,function-overloading-difference,export-assignment-is-different
set-link,module,0,0,0,0,0,0,0,0,0
set-cookie-parser,module-function,0,1,9,0,6,0,0,1,1
set-value,module-function,0,6,12,0,24,0,0,1,1
sharpie,module-function,1,0,0,0,0,0,0,0,0
shell-quote,module,1,0,0,0,0,0,0,0,0
shimmer,module,1,0,0,0,0,0,0,0,0
shuffle-array,module,1,0,0,0,0,0,0,0,0
shuffle-seed,module,0,3,1,0,0,0,0,0,0
simplecrawler,module,1,0,0,0,0,0,0,0,0
sinon-chai,module,0,0,0,0,0,0,0,0,0
single-line-log,module,0,0,0,0,0,0,1,0,0
sinon-stub-promise,module-function,0,0,0,1,0,0,0,0,1
slack-node,module-class,0,2,0,0,7,2,1,1,0
slackify-html,module,1,0,0,0,0,0,0,0,0
smpte-timecode,module,0,0,0,0,0,0,0,0,0
smshelper,module,0,0,0,0,0,0,0,0,0
smtpapi,module,1,0,0,0,0,0,0,0,0
snowflake-sdk,module,0,0,0,0,0,4,10,0,0
socketio-jwt-auth,module,0,1,0,0,3,0,0,0,0
sort-array,module-function,0,2,4,0,0,0,0,1,1
sort-json,module-function,0,0,7,0,8,0,0,1,1
sorted-array-functions,module,0,20,10,0,0,0,0,0,0
sort-object-keys,module-function,0,0,1,8,0,0,0,0,1
sorted-object,module-function,0,0,1,4,0,0,0,1,1
source-list-map,module,0,0,0,0,0,1,1,0,0
soupbintcp,module,1,0,0,0,0,0,0,0,0
source-map-support,module,0,0,0,0,0,6,14,0,0
spdx-expression-parse,module-function,0,0,0,0,0,0,0,1,1
spark-md5,module-class,0,0,0,2,0,9,1,0,0
spdy,module,1,0,0,0,0,0,0,0,0
spectrogram,module,1,0,0,0,0,0,0,0,0
sql-bricks,module,0,0,0,0,0,0,0,0,0
sql-template,module-function,1,0,0,0,0,0,0,0,0
square-connect,module,1,0,0,0,0,0,0,0,0
ssh-key-decrypt,module-function,0,6,2,0,0,0,0,0,1
ssb-keys,module,1,0,0,0,0,0,0,0,0
standard-error,module-class,0,1,0,4,0,0,0,1,0
stale-lru-cache,module-class,0,0,0,1,4,10,0,0,0
static-eval,module-function,0,0,2,4,0,0,0,1,1
standard-http-error,module-class,0,5,0,1,0,0,1,1,0
stats-lite,module,0,8,6,0,0,2,4,2,0
statuses,module,1,0,0,0,0,0,0,0,0
stompit,module,1,0,0,0,0,0,0,0,0
std-mocks,module,0,0,4,0,4,0,0,1,0
stdout-stream,module,0,0,0,0,0,0,2,0,0
steamid,module-class,0,0,0,0,0,2,3,0,0
stompjs,module,0,0,0,0,0,6,14,0,0
stoppable,module-function,1,0,0,0,0,0,0,0,0
stream-buffers,module,0,0,0,0,0,0,0,0,0
stream-array,module-function,1,0,0,0,0,0,0,0,0
stream-each,module-function,0,2,1,0,0,0,0,0,1
stream-chain,module-class,0,0,1,0,1,0,0,0,0
stream-csv-as-json,module-function,1,0,0,0,0,0,0,0,0
stream-json,module-function,1,0,0,0,0,0,0,0,0
stream-meter,module-function,0,0,0,0,0,0,0,0,1
stream-series,module-function,0,0,1,2,0,0,0,0,1
stream-shift,module-function,1,0,0,0,0,0,0,0,0
stream-to-array,module-function,0,2,2,0,0,0,0,1,1
stream-to-promise,module-function,0,0,2,0,0,0,0,1,1
strict-uri-encode,module-function,0,0,1,0,0,0,0,0,1
streamsaver,module,1,0,0,0,0,0,0,0,0
string-format,module-function,0,0,0,5,0,0,0,0,1
string-natural-compare,module-function,0,0,1,0,0,0,0,0,1
string-placeholder,module-function,0,0,0,8,0,0,0,0,1
string-replace-webpack-plugin,module-class,0,0,0,0,0,2,2,0,0
string-similarity,module,0,1,0,0,0,0,0,0,0
string-template,module,1,0,0,0,0,0,0,0,0
strip-final-newline,module-function,1,0,0,0,0,0,0,0,0
stringify-author,module-function,0,0,1,0,0,0,0,0,1
strip-color,module-function,0,0,0,0,0,0,0,0,1
strong-log-transformer,module,1,0,0,0,0,0,0,0,0
structured-source,module-class,1,0,0,0,0,0,0,0,0
stubby,module,1,0,0,0,0,0,0,0,0
style-search,module-function,0,6,2,0,0,0,0,0,1
stylus,module,1,0,0,0,0,0,0,0,0
stylis,module,1,0,0,0,0,0,0,0,0
stylelint,module,0,0,0,0,0,3,1,0,0
subtitle,module,1,0,0,0,0,0,0,0,0
suncalc,module,0,1,0,0,0,1,0,0,0
superagent-proxy,module-function,0,0,1,1,0,0,0,0,1
superagent-retry-delay,module-function,0,0,1,0,0,0,0,0,1
superfine,module,0,1,3,3,4,0,0,1,0
supertest,module-function,0,1,0,0,0,0,0,0,1
svg-outline-stroke,module-function,0,1,0,0,1,0,0,0,1
svg-path-bounding-box,module-function,0,0,0,0,0,0,0,0,1
supports-color,module,1,0,0,0,0,0,0,0,0
svg-path-bbox,module,1,0,0,0,0,0,0,0,0
svgicons2svgfont,module-class,1,0,0,0,0,0,0,0,0
svgo,module,0,0,0,0,0,3,1,0,0
swagger-express-middleware,module,1,0,0,0,0,0,0,0,0
swagger-express-validator,module-function,0,0,0,0,1,0,0,0,0
swagger-express-mw,module,0,1,1,0,0,0,0,0,0
swagger-hapi,module,0,1,1,0,0,0,0,0,0
swagger-node-runner,module,1,0,0,0,0,0,0,0,0
swagger-restify-mw,module,0,1,1,0,0,0,0,0,0
swagger-sails-hook,module-function,0,0,0,1,0,0,0,0,1
swagger-ui-express,module,0,4,5,14,27,0,2,2,0
swe-validation,module,1,0,0,0,0,0,0,0,0
swaggerize-express,module-function,0,0,0,1,3,0,0,0,1
swig-email-templates,module-class,0,7,1,0,4,0,1,0,0
swiz,module,0,0,0,0,0,4,0,0,0
symlink-or-copy,module,0,0,2,0,0,0,1,0,0
symphony-api-client-node,module,0,0,0,0,0,10,0,0,0
synaptic,module,1,0,0,0,0,0,0,0,0
tableau,module,1,0,0,0,0,0,0,0,0
tapable,module,0,0,0,0,0,0,8,0,0
tabulator,module-class,1,0,0,0,0,0,0,0,0
tape-promise,module,0,0,0,0,0,1,0,0,0
tar-stream,module,0,1,0,0,2,0,6,0,0
tarantool-driver,module-class,1,0,0,0,0,0,0,0,0
teddy,module,1,0,0,0,0,0,0,0,0
temp,module,0,0,0,0,0,0,9,0,0
terminal-menu,module,0,0,0,0,0,0,8,0,0
textextensions,module,1,0,0,0,0,0,0,0,0
textr,module-function,0,1,0,0,0,0,0,0,1
textract,module,1,0,0,0,0,0,0,0,0
throttleit,module-function,0,0,1,0,0,0,0,0,1
through2-concurrent,module-function,1,0,0,0,0,0,0,0,0
throttle,module-class,0,1,0,0,0,0,2,0,0
through2-map,module-function,0,1,1,1,1,0,0,1,1
timer-machine,module-class,0,1,0,0,2,5,2,0,0
timestring,module-function,0,1,0,0,5,0,0,0,1
tmp,module,0,0,0,0,0,10,1,0,0
to-absolute-glob,module-function,0,0,0,0,2,0,0,0,1
to-px,module-function,0,0,1,0,1,0,0,0,1
to-json-schema,module-function,0,1,0,0,4,0,0,0,1
tokgen,module-class,0,2,6,4,0,0,0,1,0
toobusy-js,module-function,0,0,0,0,0,0,0,0,1
topojson,module,0,0,0,0,0,0,0,0,0
topojson-client,module,0,0,0,0,0,17,1,0,0
topojson-simplify,module,0,0,0,0,0,11,1,0,0
toposort,module-function,1,0,0,0,0,0,0,0,0
transform-coordinates,module-function,0,0,0,0,0,0,0,0,1
traverse,module-function,0,0,0,0,1,0,0,0,1
traverson,module,1,0,0,0,0,0,0,0,0
travis-fold,module,0,0,0,0,0,2,0,0,0
triple-beam,module,1,0,0,0,0,0,0,0,0
trim,module-function,0,0,1,0,0,0,0,0,0
tsc-watch,module,1,0,0,0,0,0,0,0,0
tsscmp,module-function,0,0,0,0,0,0,0,1,1
ttf2woff,module-function,0,0,0,0,1,0,0,0,1
turndown,module-class,1,0,0,0,0,0,0,0,0
type-is,module-function,0,0,6,2,0,0,0,0,1
tz-offset,module,0,2,0,0,0,0,0,0,0
ultron,module,1,0,0,0,0,0,0,0,0
uid-safe,module,1,0,0,0,0,0,0,0,0
underscore,module,1,0,0,0,0,0,0,0,0
unc-path-regex,module-function,0,0,0,0,0,0,0,0,1
uniq,module,1,0,0,0,0,0,0,0,0
unicode-trie,module-class,1,0,0,0,0,0,0,0,0
unique-hash-stream,module-function,0,1,0,0,0,0,0,0,1
unixify,module-function,0,0,0,0,0,0,0,0,1
universal-analytics,module-function,0,0,5,3,12,0,0,1,1
unordered-array-remove,module-function,0,1,1,0,0,0,0,1,1
unzip,module,0,0,0,0,0,2,4,0,0
unzipper,module,0,0,0,0,0,5,8,0,0
urix,module-function,0,0,0,0,0,0,0,0,1
url-join,module-function,0,0,0,0,2,0,0,1,1
url-match-patterns,module-function,1,0,0,0,0,0,0,0,0
url-params,module,0,3,0,0,0,0,0,0,0
url-search-params,module-class,1,0,0,0,0,0,0,0,0
url-safe-base64,module,0,0,0,0,0,0,0,0,0
urlencode,module-function,1,0,0,0,0,0,0,0,0
urlparser,module,0,0,0,0,0,0,1,0,0
urlrouter,module-function,0,1,0,1,0,0,0,0,1
urlsafe-base64,module,0,0,0,0,0,0,0,0,0
usage,module,1,0,0,0,0,0,0,0,0
useragent,module-function,1,0,0,0,0,0,0,0,0
utf8,module,0,0,0,0,0,0,6,0,0
utils-merge,module-function,0,0,1,2,0,0,0,0,1
uuid-1345,module,0,0,0,0,0,45,2,0,0
uuid-parse,module,0,3,1,0,0,0,0,0,0
uuid-validate,module-function,1,0,0,0,0,0,0,0,0
uuid-with-v6,module,1,0,0,0,0,0,0,0,0
valid-url,module,0,0,0,0,0,4,2,0,0
valid-data-url,module,1,0,0,0,0,0,0,0,0
vault-auth-aws,module-class,1,0,0,0,0,0,0,0,0
varint,module,0,0,0,0,0,1,3,0,0
vary,module-function,0,0,2,0,0,0,0,0,1
vcards-js,module-function,0,0,0,0,0,0,0,0,1
vec2,module-class,0,0,18,2,30,2,1,8,0
vhost,module-function,0,1,1,0,0,0,0,0,1
verror,module-class,1,0,0,0,0,0,0,0,0
victor,module-class,0,0,23,0,0,22,3,0,0
vimeo,module,1,0,0,0,0,0,0,0,0
vigour-ua,module-function,0,0,3,1,0,0,0,1,1
vinyl-buffer,module,1,0,0,0,0,0,0,0,0
vitalsigns,module,1,0,0,0,0,0,0,0,0
vinyl-fs,module,1,0,0,0,0,0,0,0,0
vmap,module-class,1,0,0,0,0,0,0,0,0
voucher-code-generator,module,1,0,0,0,0,0,0,0,0
vinyl-source-stream,module-function,1,0,0,0,0,0,0,0,0
wait-on,module-function,0,1,0,1,34,0,0,1,1
vscode-windows-registry,module,1,0,0,0,0,0,0,0,0
vue-markdown,module,1,0,0,0,0,0,0,0,0
wav,module,0,0,0,0,0,0,0,0,0
wav-encoder,module,1,0,0,0,0,0,0,0,0
wawoff2,module,1,0,0,0,0,0,0,0,0
wcwidth,module-function,0,0,1,0,0,0,0,0,1
webpack-hot-middleware,module-function,1,0,0,0,0,0,0,0,0
webpack-cdn-inject,module-class,0,0,0,0,2,0,0,0,0
webpack-livereload-plugin,module-class,0,0,0,0,7,7,0,0,0
webpack-notifier,module-class,0,0,0,0,6,0,0,0,0
webpagetest,module-class,1,0,0,0,0,0,0,0,0
webshot-node,module-function,0,0,0,0,12,0,0,1,1
websequencediagrams,module,1,0,0,0,0,0,0,0,0
week,module-function,0,1,0,0,0,0,0,0,1
websql,module,1,0,0,0,0,0,0,0,0
weighted,module,1,0,0,0,0,0,0,0,0
whatwg-url,module,1,0,0,0,0,0,0,0,0
whitelist-object,module-function,1,0,0,0,0,0,0,0,0
whoops,module-function,0,7,21,0,14,0,0,1,1
wif,module,0,2,4,0,0,0,0,0,0
wildstring,module,0,0,0,0,0,0,4,0,0
wink-pos-tagger,module-class,1,0,0,0,0,0,0,0,0
wink-tokenizer,module-class,0,0,0,1,0,4,0,0,0
wkhtmltopdf,module-function,0,2,3,1,354,0,0,1,1
worker-threads-pool,module-class,0,2,0,0,0,3,0,0,0
wpapi,module-class,1,0,0,0,0,0,0,0,0
wrench,module,0,2,1,7,2,5,0,1,0
write-good,module-function,0,0,0,0,1,0,0,0,0
x-ray,module-function,0,0,0,0,0,0,0,1,0
xar,module,0,0,0,0,1,2,0,0,0
xml-crypto,module,0,0,0,0,0,1,7,0,0
xml-encryption,module,1,0,0,0,0,0,0,0,0
xml-escape,module-function,0,1,2,0,0,0,0,1,1
xml2json,module,0,0,0,0,0,3,1,0,0
xmljs,module-class,0,1,0,0,1,1,0,0,0
xmlpoke,module,1,0,0,0,0,0,0,0,0
xsalsa20,module,1,0,0,0,0,0,0,0,0
xsd-schema-validator,module,1,0,0,0,0,0,0,0,0
xtend,module,1,0,0,0,0,0,0,0,0
yauzl,module,0,5,0,5,1,8,0,1,0
yauzl-promise,module,1,0,0,0,0,0,0,0,0
yazl,module,0,0,0,0,0,0,1,0,0
yog-bigpipe,module-function,0,0,0,1,2,0,0,0,1
yesql,module-function,0,0,0,0,1,0,0,0,1
yog2-kernel,module,0,0,0,0,0,0,4,0,0
yt-player,module-class,1,0,0,0,0,0,0,0,0
