ModuleName,Template,template-is-different,type-solvable-difference,type-unsolvable-difference,extra-parameter,missing-parameter,function-missing,function-extra,function-overloading-difference,export-assignment-is-different
domutils,module,0,0,0,0,0,29,31,0,0
dotdir-regex,module-function,0,0,0,0,0,0,0,0,1
dotfile-regex,module-function,0,0,0,0,0,0,0,0,1
dottie,module,0,0,0,0,0,0,9,0,0
dtype,module-function,0,12,0,0,0,0,0,1,1
duplexer3,module-function,0,0,4,1,1,0,0,1,1
dumb-passwords,module,1,0,0,0,0,0,0,0,0
duplexify,module,1,0,0,0,0,0,0,0,0
duplexer2,module-function,0,0,1,0,4,0,0,1,1
dynamodb,module,0,0,0,0,0,8,31,0,0
eases,module,0,0,0,0,0,0,31,0,0
easy-table,module-class,0,6,5,1,0,6,0,2,0
ee-first,module-function,0,1,1,0,0,0,0,0,1
ejs-locals,module-function,1,0,0,0,0,0,0,0,0
ellipsize,module-function,0,1,2,1,0,0,0,0,1
elasticlunr,module-function,1,0,0,0,0,0,0,0,0
elo-rank,module-class,1,0,0,0,0,0,0,0,0
emissary,module,1,0,0,0,0,0,0,0,0
encoding-japanese,module,0,3,12,5,18,19,16,1,0
ent,module,0,2,0,2,0,0,0,0,0
end-of-stream,module-function,0,1,3,1,3,0,0,1,1
env-to-object,module-function,0,0,0,17,16,0,0,1,1
envhandlebars,module-function,0,0,0,22,9,0,0,1,1
envify,module,1,0,0,0,0,0,0,0,0
es6-promisify,module,1,0,0,0,0,0,0,0,0
es6-weak-map,module-class,1,0,0,0,0,0,0,0,0
escape-latex,module-function,0,0,0,0,0,0,0,0,1
esprima-walk,module-function,0,1,0,2,0,0,0,0,1
esrever,module,0,0,0,0,0,0,5,0,0
estree-jsx,module,1,0,0,0,0,0,0,0,0
euclidean-distance,module-function,0,4,0,0,0,0,0,1,1
event-kit,module,1,0,0,0,0,0,0,0,0
event-emitter,module-function,0,1,0,0,0,0,0,0,1
event-to-promise,module-function,0,1,0,0,0,0,0,0,1
expand-tilde,module-function,0,0,0,0,0,0,0,0,1
express-boom,module-function,0,0,0,0,0,0,0,0,1
express-brute,module-class,0,1,0,0,4,2,2,0,0
express-brute-mongo,module-class,0,2,0,0,0,0,0,0,0
express-bunyan-logger,module-function,1,0,0,0,0,0,0,0,0
express-ejs-layouts,module-function,1,0,0,0,0,0,0,0,0
express-fileupload,module-function,1,0,0,0,0,0,0,0,0
express-flash-2,module-function,1,0,0,0,0,0,0,0,0
express-flash,module-function,0,0,0,0,0,0,0,0,1
express-form-data,module,0,0,0,0,1,0,0,0,0
express-jsonschema,module,0,1,0,1,0,0,4,0,0
express-jwt,module-function,0,3,1,1,0,0,0,0,1
express-formidable,module-function,0,0,0,1,18,0,0,1,0
express-less,module-function,0,1,0,1,1,0,0,0,1
express-list-endpoints,module-function,0,0,1,0,0,0,0,0,1
express-partials,module-function,0,0,0,0,1,0,0,0,1
express-mung,module,0,5,0,0,1,0,1,0,0
express-redis-cache,module-function,0,0,0,0,12,0,0,1,1
express-request-id,module-function,0,0,1,2,0,0,0,0,1
express-wechat-access,module-function,0,0,0,0,2,0,0,0,1
express-routes-versioning,module-function,0,0,0,0,0,0,0,0,1
express-unless,module-function,0,0,1,2,5,0,0,1,1
express-xml-bodyparser,module-function,0,1,0,0,0,0,0,0,1
fast-list,module,1,0,0,0,0,0,0,0,0
fast-memory-cache,module-class,1,0,0,0,0,0,0,0,0
fastbitset,module-class,1,0,0,0,0,0,0,0,0
file-exists,module-function,0,0,1,0,2,0,0,1,1
ffprobe,module-function,0,1,1,2,0,0,0,0,1
field,module,0,5,0,0,0,0,0,1,0
file-saver,module,1,0,0,0,0,0,0,0,0
file-size,module-function,0,0,1,2,0,0,0,0,1
filesize-parser,module-function,0,0,1,0,1,0,0,0,1
find-exec,module-function,0,0,0,0,2,0,0,1,1
find-in-files,module,1,0,0,0,0,0,0,0,0
find-package-json,module-function,0,0,0,0,1,0,0,0,1
find-root,module-function,0,1,1,0,0,0,0,0,1
firebase-client,module,1,0,0,0,0,0,0,0,0
flagged-respawn,module-function,0,2,2,0,3,0,0,1,1
flake-idgen,module-class,0,4,0,0,1,0,0,1,0
flipsnap,module,1,0,0,0,0,0,0,0,0
flatbuffers,module,1,0,0,0,0,0,0,0,0
floreal,module,1,0,0,0,0,0,0,0,0
fluent-ffmpeg,module-function,0,0,11,0,110,0,0,1,1
flot,module,1,0,0,0,0,0,0,0,0
fnv-lite,module-class,0,2,0,1,0,4,4,1,0
flush-write-stream,module,1,0,0,0,0,0,0,0,0
forever-monitor,module,1,0,0,0,0,0,0,0,0
form-serializer,module,1,0,0,0,0,0,0,0,0
forge-apis,module,0,0,0,0,0,0,0,0,0
format-duration,module-function,0,0,0,0,0,0,0,0,1
format-link-header,module-function,0,0,0,0,0,0,0,1,1
format-unicorn,module,1,0,0,0,0,0,0,0,0
format-util,module-function,0,0,0,0,1,0,0,0,1
forms,module,1,0,0,0,0,0,0,0,0
forwarded,module-function,0,0,0,2,0,0,0,0,1
fossil-delta,module,1,0,0,0,0,0,0,0,0
freeport,module-function,0,1,0,0,0,0,0,0,1
fresh,module-function,0,0,0,3,0,0,0,0,1
from2,module-function,0,0,5,1,0,0,0,1,1
fs-extra-promise,module,1,0,0,0,0,0,0,0,0
fs-plus,module,1,0,0,0,0,0,0,0,0
fs-readdir-recursive,module-function,0,1,0,2,0,0,0,0,1
fs-readfile-promise,module-function,0,0,4,4,0,0,0,1,1
ftp,module-class,1,0,0,0,0,0,0,0,0
ftps,module-class,0,0,0,0,18,13,2,0,0
functional-red-black-tree,module-function,0,0,1,1,0,0,0,0,1
fuzzaldrin,module,1,0,0,0,0,0,0,0,0
furigana-markdown-it,module-function,0,0,0,0,4,0,0,1,1
gapi,module,1,0,0,0,0,0,0,0,0
gaussian,module-function,0,0,0,0,0,0,0,0,1
generic-functions,module,0,0,0,0,0,0,6,0,0
geopoint,module-class,0,2,2,0,0,4,0,0,0
ghauth,module-function,1,0,0,0,0,0,0,0,0
ghost-storage-base,module-class,0,0,0,0,0,8,0,0,0
git-config-path,module-function,0,0,1,1,0,0,0,0,1
git-rev-sync,module,0,2,2,0,0,2,1,0,0
git-user-name,module-function,0,0,0,0,3,0,0,0,1
git-username,module-function,0,2,0,4,2,0,0,0,1
git-user-email,module-function,0,0,0,1,0,0,0,0,1
gitconfiglocal,module-function,0,1,1,1,1,0,0,1,1
gl-fbo,module-function,0,0,1,0,2,0,0,0,1
glob-base,module-function,0,1,0,1,0,0,0,0,1
gl-vec2,module,1,0,0,0,0,0,0,0,0
gl-vec3,module,1,0,0,0,0,0,0,0,0
glob-to-regexp,module-function,0,0,0,0,0,0,0,0,1
global-tunnel-ng,module,0,0,1,0,0,0,2,0,0
global-paths,module-function,0,1,0,0,0,0,0,0,1
globalyzer,module-function,0,0,0,0,1,0,0,0,1
globjoin,module-function,1,0,0,0,0,0,0,0,0
globrex,module-function,0,0,0,0,1,0,0,0,1
glur,module-function,0,0,1,0,3,0,0,0,1
gm,module-function,0,0,2,0,3,0,0,1,1
google-polyline,module,0,1,0,0,0,0,4,0,0
google-maps,module,0,0,0,0,0,0,2,0,0
graphite-udp,module,0,0,0,0,0,1,2,0,0
gravatar,module,0,2,2,0,20,0,0,0,0
gray-percentage,module-function,1,0,0,0,0,0,0,0,0
graylog2,module,1,0,0,0,0,0,0,0,0
guid,module-function,1,0,0,0,0,0,0,0,0
gulp-batch,module-function,0,1,0,0,2,0,0,0,1
gulp-bump,module-function,0,0,0,2,0,0,0,0,0
gulp-cache,module,1,0,0,0,0,0,0,0,0
gulp-cached,module,1,0,0,0,0,0,0,0,0
gulp-csso,module-function,0,1,0,0,0,0,0,0,1
gulp-help,module-function,0,0,0,2,5,0,0,0,1
gulp-html-prettify,module,1,0,0,0,0,0,0,0,0
gulp-html-replace,module,1,0,0,0,0,0,0,0,0
gulp-help-doc,module,1,0,0,0,0,0,0,0,0
gulp-if,module,1,0,0,0,0,0,0,0,0
gulp-insert,module,0,0,0,0,0,0,4,0,0
gulp-install,module,1,0,0,0,0,0,0,0,0
gulp-ng-annotate,module,1,0,0,0,0,0,0,0,0
gulp-less,module-function,0,0,0,0,4,0,0,0,1
gulp-mustache,module-function,0,0,2,0,0,0,0,0,0
gulp-nodemon,module,1,0,0,0,0,0,0,0,0
gulp-remember,module,1,0,0,0,0,0,0,0,0
gulp-rev,module,1,0,0,0,0,0,0,0,0
gulp-sort,module-function,0,0,0,0,0,0,0,1,1
gulp-rev-replace,module-function,0,0,0,0,1,0,0,0,1
gulp-strip-debug,module,1,0,0,0,0,0,0,0,0
gulp-stylus,module-function,0,0,0,0,4,0,0,0,1
gulp-svg-sprite,module,1,0,0,0,0,0,0,0,0
gzip-js,module,1,0,0,0,0,0,0,0,0
harmon,module-function,0,1,0,0,2,0,0,0,1
harmony-proxy,module,1,0,0,0,0,0,0,0,0
has,module-function,0,0,1,0,0,0,0,0,1
hash-stream,module-function,0,2,2,0,0,0,0,1,1
hashmap,module-class,0,0,2,1,0,15,1,1,0
hash-sum,module-function,0,1,0,0,0,0,0,0,1
hashset,module,1,0,0,0,0,0,0,0,0
haversine,module-function,0,0,4,6,0,0,0,1,1
heap,module-class,1,0,0,0,0,0,0,0,0
hepburn,module,0,0,0,0,0,2,0,0,0
hellosign-sdk,module-class,1,0,0,0,0,0,0,0,0
hex-color-regex,module-function,0,1,0,0,0,0,0,0,1
host-validation,module-function,0,3,0,2,0,0,0,0,1
hex-rgba,module-function,1,0,0,0,0,0,0,0,0
honeybadger,module,1,0,0,0,0,0,0,0,0
hooker,module,1,0,0,0,0,0,0,0,0
html-parser,module,0,0,0,0,0,3,6,0,0
html-escaper,module,0,0,0,0,0,0,0,0,0
html-replace-webpack-plugin,module-class,1,0,0,0,0,0,0,0,0
html-tableify,module-function,0,0,1,0,2,0,0,0,1
htmlescape,module-function,0,1,0,0,0,0,0,0,1
humanparser,module,0,0,0,0,0,0,3,0,0
iban,module,0,0,0,0,0,0,6,0,0
image-to-base64,module-function,0,0,0,0,0,0,0,0,1
imagemin-svgo,module-function,0,0,1,0,0,0,0,0,1
imap,module-class,1,0,0,0,0,0,0,0,0
imul,module-function,1,0,0,0,0,0,0,0,0
inflection,module,0,0,0,0,0,0,17,0,0
inflation,module-function,0,0,0,0,2,0,0,0,1
intercept-stdout,module-function,0,1,0,0,1,0,0,0,1
intersect,module,1,0,0,0,0,0,0,0,0
intersperse,module-function,0,0,2,0,0,0,0,0,1
